estimator,feature_engineer,loss,accuracy,cost_time,highc_cat_encoder,minimum_fraction,af_hidden
random_forest,generate.autofeat,0.0178088,0.9821911855990069,14.8594,encode.cat_boost,0.001:float,
lightgbm,generate.autofeat,0.017815,0.9821849782743637,14.4219,encode.entity,0.1:float,
random_forest,operate.keep_going,0.0189323,0.9810676598386096,10.4361,encode.ordinal,0.1:float,
lightgbm,operate.keep_going,0.0200372,0.9799627560521416,8.785,encode.cat_boost,0.01:float,
random_forest,generate.autofeat,0.0200372,0.9799627560521416,18.8211,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0200435,0.9799565487274984,4.69393,encode.entity,0.01:float,
extra_trees,operate.keep_going,0.0200497,0.9799503414028553,10.856,encode.entity,0.001:float,
random_forest,generate.autofeat,0.0211546,0.9788454376163873,21.8183,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0211546,0.9788454376163873,3.13632,encode.entity,0.001:float,
extra_trees,select.boruta,0.0211608,0.9788392302917442,12.4893,encode.cat_boost,0.001:float,
logistic_regression,operate.keep_going,0.0244879,0.975512104283054,13.6741,encode.entity,0.1:float,
logistic_regression,operate.keep_going,0.025599,0.9744009931719428,6.45914,encode.cat_boost,0.1:float,
random_forest,operate.keep_going,0.028951,0.9710490378646803,8.96914,encode.cat_boost,0.1:float,
random_forest,operate.keep_going,0.0289572,0.9710428305400371,9.78334,encode.ordinal,0.01:float,
random_forest,select.boruta,0.0300683,0.9699317194289261,11.5245,encode.entity,0.1:float,
logistic_regression,operate.keep_going,0.0311732,0.9688268156424581,6.46393,encode.entity,0.001:float,
random_forest,generate.autofeat,0.0345127,0.9654872749844816,18.9009,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0345251,0.9654748603351955,27.963,encode.entity,0.001:float,
tabular_nn,select.boruta,0.0356176,0.9643823711980136,14.723,encode.ordinal,0.01:float,relu
extra_trees,operate.keep_going,0.0356425,0.9643575418994412,12.6438,encode.cat_boost,0.01:float,
lightgbm,operate.keep_going,0.0378647,0.9621353196772191,34.2935,encode.entity,0.001:float,
random_forest,operate.keep_going,0.0389758,0.9610242085661082,9.24056,encode.ordinal,0.001:float,
tabular_nn,operate.keep_going,0.0389758,0.9610242085661082,11.9829,encode.ordinal,0.01:float,relu
tabular_nn,operate.keep_going,0.0389882,0.9610117939168219,6.96351,encode.entity,0.001:float,relu
lightgbm,generate.autofeat,0.0389944,0.9610055865921787,20.8638,encode.ordinal,0.1:float,
tabular_nn,select.boruta,0.0400869,0.9599130974549969,13.3902,encode.ordinal,0.001:float,leaky_relu
random_forest,generate.autofeat,0.0400869,0.9599130974549969,13.4899,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.0400993,0.9599006828057106,19.4436,encode.cat_boost,0.1:float,
extra_trees,generate.autofeat,0.0412166,0.9587833643699565,13.6408,encode.cat_boost,0.1:float,
extra_trees,select.boruta,0.0412291,0.9587709497206702,12.1178,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.042334,0.9576660459342022,32.6928,encode.ordinal,0.01:float,
lightgbm,select.boruta,0.0423402,0.9576598386095594,29.7853,encode.ordinal,0.001:float,
lightgbm,select.boruta,0.0434326,0.9565673494723775,23.8258,encode.entity,0.1:float,
extra_trees,select.boruta,0.0434513,0.9565487274984481,12.1818,encode.entity,0.001:float,
lightgbm,select.boruta,0.0434513,0.9565487274984481,20.3034,encode.cat_boost,0.001:float,
lightgbm,select.boruta,0.0456611,0.954338919925512,5.81216,encode.ordinal,0.01:float,
extra_trees,operate.keep_going,0.046766,0.953234016139044,9.05244,encode.ordinal,0.01:float,
lightgbm,generate.autofeat,0.046766,0.953234016139044,11.0342,encode.entity,0.001:float,
lightgbm,select.boruta,0.0467784,0.9532216014897579,10.4328,encode.cat_boost,0.001:float,
lightgbm,operate.keep_going,0.0478895,0.9521104903786469,4.64529,encode.cat_boost,0.01:float,
extra_trees,generate.autofeat,0.0478957,0.9521042830540036,16.3369,encode.ordinal,0.01:float,
lightgbm,generate.autofeat,0.0490068,0.9509931719428927,10.913,encode.ordinal,0.001:float,
lightgbm,generate.autofeat,0.0490068,0.9509931719428927,13.5487,encode.entity,0.001:float,
extra_trees,operate.keep_going,0.0501117,0.9498882681564247,8.56484,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0501241,0.9498758535071385,18.9004,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0501304,0.9498696461824953,31.7387,encode.ordinal,0.001:float,
random_forest,generate.autofeat,0.0512166,0.9487833643699567,33.4964,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0512353,0.9487647423960273,31.8952,encode.entity,0.01:float,
random_forest,select.boruta,0.0523277,0.9476722532588454,20.8665,encode.ordinal,0.001:float,
lightgbm,generate.autofeat,0.0523464,0.9476536312849163,24.3602,encode.entity,0.001:float,
lightgbm,operate.keep_going,0.0523464,0.9476536312849163,21.4413,encode.entity,0.001:float,
logistic_regression,operate.keep_going,0.0523464,0.9476536312849163,10.6885,encode.cat_boost,0.01:float,
lightgbm,operate.keep_going,0.0523526,0.947647423960273,17.8858,encode.entity,0.001:float,
random_forest,generate.autofeat,0.0534264,0.9465735567970205,19.4638,encode.entity,0.1:float,
random_forest,operate.keep_going,0.0534513,0.9465487274984483,8.66843,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0534513,0.9465487274984481,14.8321,encode.ordinal,0.001:float,
lightgbm,generate.autofeat,0.0534637,0.9465363128491621,46.1181,encode.entity,0.01:float,
lightgbm,operate.keep_going,0.0534637,0.9465363128491621,20.8761,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0534637,0.9465363128491621,29.6876,encode.ordinal,0.01:float,
lightgbm,generate.autofeat,0.0534823,0.9465176908752329,19.285,encode.ordinal,0.01:float,
lightgbm,generate.autofeat,0.0545748,0.9454252017380508,19.8967,encode.cat_boost,0.1:float,
lightgbm,generate.autofeat,0.0545748,0.945425201738051,32.9271,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.0545872,0.9454127870887646,31.7187,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0545934,0.9454065797641217,12.7955,encode.cat_boost,0.01:float,
lightgbm,select.boruta,0.0556859,0.9443140906269398,27.8104,encode.entity,0.1:float,
lightgbm,operate.keep_going,0.0556859,0.9443140906269398,4.34293,encode.ordinal,0.001:float,
lightgbm,operate.keep_going,0.0556921,0.9443078833022966,33.6591,encode.ordinal,0.01:float,
lightgbm,operate.keep_going,0.0557045,0.9442954686530106,39.0164,encode.cat_boost,0.001:float,
random_forest,generate.autofeat,0.0567846,0.9432153941651148,33.6019,encode.entity,0.001:float,
lightgbm,select.boruta,0.0567908,0.9432091868404718,21.6919,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0568032,0.9431967721911857,24.1006,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0568094,0.9431905648665426,7.98704,encode.cat_boost,0.1:float,
lightgbm,select.boruta,0.0568281,0.9431719428926133,7.11851,encode.entity,0.01:float,
extra_trees,generate.autofeat,0.0579019,0.9420980757293606,24.5586,encode.ordinal,0.001:float,
lightgbm,operate.keep_going,0.0579268,0.9420732464307884,19.7248,encode.entity,0.001:float,
lightgbm,select.boruta,0.057933,0.9420670391061453,6.36197,encode.ordinal,0.1:float,
lightgbm,generate.autofeat,0.0590317,0.9409683426443202,40.42,encode.ordinal,0.001:float,
lightgbm,select.boruta,0.0590317,0.9409683426443204,22.6653,encode.entity,0.001:float,
lightgbm,generate.autofeat,0.0590441,0.9409559279950341,31.1151,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0590503,0.9409497206703911,32.6507,encode.cat_boost,0.01:float,
lightgbm,select.boruta,0.0590565,0.940943513345748,11.9343,encode.entity,0.01:float,
lightgbm,generate.autofeat,0.0601241,0.9398758535071383,17.7271,encode.ordinal,0.001:float,
lightgbm,select.boruta,0.0601366,0.9398634388578524,30.6607,encode.ordinal,0.01:float,
lightgbm,operate.keep_going,0.0623712,0.9376288019863439,30.1189,encode.entity,0.1:float,
lightgbm,generate.autofeat,0.0623898,0.9376101800124147,25.9116,encode.entity,0.01:float,
extra_trees,select.boruta,0.062396,0.9376039726877716,7.46048,encode.ordinal,0.1:float,
random_forest,generate.autofeat,0.0634451,0.9365549348230913,28.3512,encode.cat_boost,0.01:float,
